,TrackName,Artist,maxStreams,avgStreams,accumulated_streams,top1,timesTop10,timesTop25,timesTop50,timesTop100,timesTop200,weeksTop10,weeksTop25,weeksTop50,weeksTop100,weeksTop200
2XW4DbS6NddZxRPm5rMCeY,God's Plan,Drake,54891573,39235598.65,784711973,True,20,0,0,0,0,"2018-03-23,2018-03-30,2018-04-20,2018-02-09,2018-05-25,2018-05-11,2018-01-26,2018-05-18,2018-02-23,2018-05-04,2018-06-01,2018-03-16,2018-04-06,2018-03-09,2018-01-19,2018-02-16,2018-03-02,2018-02-02,2018-04-13,2018-04-27",,,,
65NwOZqoXny4JxqAPlfxRF,Psycho (feat. Ty Dolla $ign),Post Malone,45142484,32653046.75,261224374,False,8,0,0,0,0,"2018-03-23,2018-03-30,2018-02-23,2018-03-16,2018-04-06,2018-03-09,2018-03-02,2018-04-13",,,,
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,38010231,11901917.78,1118780271,True,11,20,16,19,28,"2018-03-23,2018-03-30,2018-06-15,2018-06-29,2018-07-13,2018-07-27,2018-03-16,2018-04-06,2018-06-22,2018-07-06,2018-07-20","2018-12-28,2018-04-20,2018-08-24,2018-08-03,2018-11-02,2018-05-11,2018-09-14,2018-09-21,2018-05-04,2018-12-07,2018-10-26,2018-08-17,2018-10-12,2018-04-13,2018-09-07,2018-08-10,2018-08-31,2018-09-28,2018-10-19,2018-10-05","2018-06-08,2018-12-14,2019-01-04,2018-05-25,2018-11-30,2018-05-18,2018-11-23,2018-11-16,2018-06-01,2019-01-25,2019-01-11,2019-02-01,2019-01-18,2018-04-27,2018-12-21,2018-11-09","2019-05-03,2019-06-14,2019-05-31,2019-05-10,2019-02-08,2019-03-15,2019-04-26,2019-03-01,2019-03-22,2019-06-21,2019-04-05,2019-04-12,2019-02-15,2019-05-24,2019-02-22,2019-03-29,2019-06-07,2019-04-19,2019-03-08","2019-10-18,2019-07-19,2019-09-20,2019-08-09,2019-10-25,2019-05-17,2019-11-01,2019-07-26,2019-12-20,2019-10-04,2019-12-06,2019-09-13,2019-12-27,2019-09-06,2019-10-11,2019-12-13,2019-07-12,2019-06-28,2019-07-05,2019-08-23,2019-11-08,2019-11-22,2019-08-16,2019-08-02,2019-08-30,2019-11-29,2019-11-15,2019-09-27"
08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,25664581,10670289.7,714909410,False,13,5,7,14,28,"2018-03-23,2018-03-30,2018-04-20,2018-05-11,2018-05-18,2018-02-23,2018-05-04,2018-03-16,2018-04-06,2018-03-09,2018-02-16,2018-03-02,2018-04-13","2018-06-08,2018-02-09,2018-05-25,2018-06-01,2018-04-27","2018-06-15,2018-06-29,2018-07-13,2018-07-27,2018-06-22,2018-07-06,2018-07-20","2018-12-28,2018-08-24,2018-08-03,2018-09-14,2018-09-21,2019-02-01,2018-08-17,2018-10-12,2018-09-07,2018-08-10,2018-08-31,2018-09-28,2018-10-19,2018-10-05","2019-05-03,2018-12-14,2019-01-04,2019-05-10,2019-02-08,2018-11-02,2019-03-15,2019-04-26,2019-03-01,2018-11-30,2019-03-22,2018-11-23,2018-11-16,2018-12-07,2019-04-05,2019-01-25,2019-04-12,2019-02-15,2018-10-26,2019-01-11,2019-05-24,2019-01-18,2019-02-22,2019-03-29,2019-04-19,2018-12-21,2018-11-09,2019-03-08"
39N9RPD9MRb5WmoLzNzPeA,X,Nicky Jam,25335647,14219319.21,483456853,False,10,6,7,4,7,"2018-03-23,2018-03-30,2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-03-16,2018-04-06,2018-04-13","2018-06-08,2018-06-15,2018-06-01,2018-03-09,2018-06-22,2018-04-27","2018-06-29,2018-07-13,2018-07-27,2018-03-02,2018-07-06,2018-07-20,2018-08-10","2018-08-24,2018-08-03,2018-08-17,2018-08-31","2018-12-28,2018-09-14,2018-09-21,2018-10-12,2018-09-07,2018-09-28,2018-10-05"
76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa,23715748,9817028.87,765728252,False,12,7,6,24,29,"2018-03-23,2018-03-30,2018-02-09,2018-01-26,2018-02-23,2018-03-16,2018-04-06,2018-03-09,2018-01-19,2018-02-16,2018-03-02,2018-02-02","2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-01-12,2018-04-13","2018-06-08,2018-06-15,2018-06-01,2018-06-22,2018-07-06,2018-04-27","2019-01-04,2018-12-28,2018-08-24,2018-08-03,2018-11-02,2018-09-14,2018-06-29,2018-09-21,2018-07-13,2018-12-07,2018-07-27,2018-10-26,2019-01-11,2018-08-17,2018-01-05,2018-10-12,2018-07-20,2018-09-07,2018-08-10,2018-08-31,2018-09-28,2018-10-19,2018-11-09,2018-10-05","2019-05-03,2018-12-14,2019-06-14,2019-05-31,2019-05-10,2019-02-08,2019-05-17,2019-03-15,2019-04-26,2019-03-01,2018-11-30,2019-03-22,2018-11-23,2019-06-21,2018-11-16,2019-04-05,2019-01-25,2019-04-12,2017-12-29,2019-02-15,2019-02-01,2019-05-24,2019-01-18,2019-02-22,2019-03-29,2019-06-07,2019-04-19,2018-12-21,2019-03-08"
79jX8RM5CgPqDKdGEKNW9K,In My Blood,Shawn Mendes,21904395,14431725.0,129885525,False,1,3,5,0,0,2018-03-23,"2018-03-30,2018-04-06,2018-04-13","2018-04-20,2018-05-11,2018-05-18,2018-05-04,2018-04-27",,
2ARqIya5NAuvFVHSN3bL0m,The Middle,Zedd,22125746,17763848.72,319749277,False,7,7,4,0,0,"2018-03-23,2018-03-30,2018-03-16,2018-04-06,2018-03-09,2018-03-02,2018-04-13","2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-02-23,2018-05-04,2018-04-27","2018-06-08,2018-06-15,2018-06-01,2018-06-22",,
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),Kendrick Lamar,31352011,10035880.59,371327582,False,5,3,6,4,19,"2018-03-23,2018-02-23,2018-03-16,2018-03-09,2018-03-02","2018-03-30,2018-04-06,2018-04-13","2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-04-27","2018-06-08,2018-06-15,2018-06-01,2018-06-22","2019-01-04,2018-12-28,2018-08-24,2018-08-03,2018-09-14,2018-06-29,2018-09-21,2018-07-13,2018-12-07,2019-01-25,2018-07-27,2019-01-11,2019-01-18,2018-08-17,2018-07-06,2018-07-20,2018-09-07,2018-08-10,2018-08-31"
4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake),BlocBoy JB,22486856,9782560.35,557605940,False,6,9,7,9,26,"2018-03-23,2018-02-23,2018-03-16,2018-03-09,2018-02-16,2018-03-02","2018-03-30,2018-04-20,2018-02-09,2018-05-25,2018-05-11,2018-05-18,2018-05-04,2018-04-06,2018-04-13","2018-06-08,2018-06-15,2018-07-13,2018-06-01,2018-06-22,2018-07-06,2018-04-27","2018-08-24,2018-08-03,2018-06-29,2018-07-27,2018-08-17,2018-07-20,2018-09-07,2018-08-10,2018-08-31","2018-12-14,2019-01-04,2018-12-28,2019-02-08,2018-11-02,2018-09-14,2019-03-01,2018-09-21,2018-11-30,2018-11-23,2018-11-16,2018-12-07,2019-01-25,2019-02-15,2018-10-26,2019-01-11,2019-02-01,2019-01-18,2019-02-22,2018-10-12,2018-12-21,2018-09-28,2018-10-19,2018-11-09,2018-10-05,2019-03-08"
6tHWl8ows5JOZq9Yfaqn3M,Mine,Bazzi,23681960,18182617.64,200008794,False,6,3,1,0,1,"2018-02-09,2018-02-23,2018-03-16,2018-03-09,2018-02-16,2018-03-02","2018-03-23,2018-03-30,2018-02-02",2018-01-26,,2018-01-19
45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),Khalid,20042219,9859720.8,483126319,False,0,14,4,8,23,,"2018-03-23,2018-03-30,2018-04-20,2018-05-25,2018-05-11,2018-05-18,2018-02-23,2018-05-04,2018-03-16,2018-04-06,2018-03-09,2018-02-16,2018-03-02,2018-04-13","2018-06-08,2018-06-15,2018-06-01,2018-04-27","2018-08-24,2018-06-29,2018-07-13,2018-07-27,2018-06-22,2018-07-06,2018-07-20,2018-08-10","2018-12-14,2019-01-04,2018-12-28,2018-08-03,2018-11-02,2018-09-14,2018-09-21,2018-11-23,2018-11-16,2018-12-07,2019-01-25,2018-10-26,2019-01-11,2019-02-01,2019-01-18,2018-08-17,2018-10-12,2018-09-07,2018-08-31,2018-09-28,2018-10-19,2018-11-09,2018-10-05"
